Gem;Level;Affixes;Combat;Suggested Price
Aegis Creation Moonstone;2;Spirit Shield, Creation;50;150
Aegis Curseward Moonstone;2;Spirit Shield, Curse;50;150
Aegis Fervor Moonstone;2;Spirit Shield, Fervor;50;150
Aegis Flawless Moonstone;2;Spirit Shield, Seamless;50;150
Aegis Fury Moonstone;2;Spirit Shield, Wrath;50;150
Aegis Haste Moonstone;2;Spirit Shield, Swift;50;150
Aegis: Ironhelm Agate;2;Aegis, Iron Helmet;50;150
Aegis: Stalwart Agate;2;Aegis, Stoic;50;150
Aegis: Steelwall Agate;2;Aegis, Bulwark;50;150
Aegis: Tenacious Agate;2;Aegis, Tenacious;50;150
Agile Peridot;1;Elusive;25;75
Agility Blessing Peridot;2;Elusive, Blessing;50;150
Agility Dexterity Peridot;2;Elusive, Deft;50;150
Agility Fortune Peridot;2;Elusive, Wealth;50;150
Allied Burst Moonstone;2;Brotherhood, Burst;50;150
Allied Unyielding Moonstone;2;Brotherhood, Unyielding;50;150
Artifice Moonstone;1;Creation;25;75
Battle Spirit: Battle Will Purple Rhomb Gem;2;Valor, Fervor;50;150
Battle Spirit: Curse Resist Purple Rhomb Gem;2;Valor, Curse;50;150
Battle Spirit: Fervor Purple Rhomb Gem;2;Valor, Fervid;50;150
Battle Spirit: Pierce Purple Rhomb Gem;2;Valor, Sky Piercer;50;150
Battle Spirit: Pursuit Purple Rhomb Gem;2;Valor, Seeker;50;150
Battle Spirit: Rage Purple Rhomb Gem;2;Valor, Wrath;50;150
Battle Spirit: Ranged Purple Rhomb Gem;2;Valor, Ranged;50;150
Battle Spirit: Vitality Purple Rhomb Gem;2;Valor, Vitality;50;150
Battlebond · Fighting Spirit Agate;2;Brotherhood, Valor;50;150
Battlewill·Fervor Agate;2;Valor, Fervid;50;150
Battlewill·Focus Agate;2;Valor, Focused;50;150
Battlewill·Skysunder Agate;2;Valor, Sky Piercer;50;150
Blast Moonstone;1;Burst;25;75
Blessed Peridot;1;Blessing;25;75
Blessing Fortune Peridot;2;Blessing, Wealth;50;150
Brawl · Focus Agate;2;Strife, Focused;50;150
Brawling Peridot;1;Strife;25;75
Brotherhood Onyx;1;Brotherhood;25;75
Brotherhood·Fervor Agate;2;Brotherhood, Fervid;50;150
Brotherhood·Focus Agate;2;Brotherhood, Focused;50;150
Brotherhood·Skysunder Agate;2;Brotherhood, Sky Piercer;50;150
Brutal Alacrity Peridot;2;Smiting, Elusive;50;150
Brutal Blessed Peridot;2;Smiting, Blessing;50;150
Brutal Cunning Peridot;2;Smiting, Eloquence;50;150
Brutal Flawless Peridot;2;Smiting, Seamless;50;150
Brutal Fortune Peridot;2;Smiting, Wealth;50;150
Brutal Sleight Peridot;2;Smiting, Deft;50;150
Brutal Vitality Peridot;2;Smiting, Vitality;50;150
Bulwark·Brotherhood Agate;2;Bulwark, Brotherhood;50;150
Bulwark·Endurance Agate;2;Bulwark, Stoic;50;150
Bulwark·Iron Helm Agate;2;Bulwark, Iron Helmet;50;150
Burst Haste Moonstone;2;Burst, Swift;50;150
Burst Seamless Moonstone;2;Burst, Seamless;50;150
Bursting - Conjuring Moonstone;2;Burst, Creation;50;150
Bursting - Cursing Moonstone;2;Burst, Curse;50;150
Camaraderie · Brawl Agate;2;Brotherhood, Strife;50;150
Camaraderie · Ranged Ward Agate;2;Brotherhood, Distant Ward;50;150
Carnage Onyx;1;Strife;25;75
Crush · Melee Peridot;2;Smiting, Strife;50;150
Crushing Peridot;1;Smiting;25;75
Cunning Alacrity Peridot;2;Eloquence, Elusive;50;150
Cunning Blessed Peridot;2;Eloquence, Blessing;50;150
Cunning Flawless Peridot;2;Eloquence, Seamless;50;150
Cunning Fortune Peridot;2;Eloquence, Wealth;50;150
Cunning Sleight Peridot;2;Eloquence, Deft;50;150
Cunning Vitality Peridot;2;Eloquence, Vitality;50;150
Curseward · Craft Moonstone;2;Curse, Creation;50;150
Curseward Amethyst;1;Curse;25;75
Curseward Moonstone;1;Curse;25;75
Deft Peridot;1;Deft;25;75
Dexterity Blessing Peridot;2;Deft, Blessing;50;150
Dexterity Fortune Peridot;2;Deft, Wealth;50;150
Farguard Peridot;1;Distant Ward;25;75
Farstrike Peridot;1;Ranged;25;75
Fervor · Brawl Agate;2;Fervid, Strife;50;150
Fervor · Craft Moonstone;2;Fervor, Creation;50;150
Fervor · Curseward Moonstone;2;Fervor, Curse;50;150
Fervor · Haste Moonstone;2;Fervor, Swift;50;150
Fervor · Seamless Moonstone;2;Fervor, Seamless;50;150
Fervor Amethyst;1;Fervid;25;75
Fervor Onyx;1;Fervid;25;75
Fervor·Focus Agate;2;Fervid, Focused;50;150
Fierce Battle: Blessed Peridot;2;Strife, Blessing;50;150
Fierce Battle: Deft Peridot;2;Strife, Deft;50;150
